Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	response to lipopolysaccharide (GO:0032496)	16/159	3.749867e-09	8.669010e-07	0	0	7.439037e+00	1.443288e+02	SERPINE1;TNFAIP3;LIAS;CXCL3;SELE;CXCL2;ZFP36;IL6;IL1B;PDE4B;PELI1;CCL2;IL12A;TRIB1;CCR5;PF4
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	25/408	5.947061e-09	1.260281e-06	0	0	4.421923e+00	8.375285e+01	ACVRL1;SERPINE1;PDGFB;FAM107A;SEMA3G;STC1;NEDD9;THBS1;CX3CL1;CDH5;GPNMB;PDGFD;HAS2;SASH1;EDN1;MMP7;SPHK1;IGF1;RHOB;CLDN5;BMP2;CEACAM6;IL1B;CDH13;HBEGF
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	18/221	1.161237e-08	2.271559e-06	0	0	5.917505e+00	1.081199e+02	EDN1;MMP7;SPHK1;PDGFB;FAM107A;SEMA3G;NEDD9;IGF1;THBS1;CDH5;BMP2;GPNMB;CEACAM6;PDGFD;IL1B;HAS2;CDH13;HBEGF
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	45/1183	2.229104e-08	4.049007e-06	0	0	2.768312e+00	4.877512e+01	ACVRL1;FOXA1;CEBPA;CSF3;NOTCH4;SERPINE1;PDGFB;RORA;MEOX2;CX3CL1;ETS2;FSTL3;SOX17;NFIL3;MYB;CD38;HES1;JUNB;IER2;EGR1;EDN1;JUN;JUND;FOXF1;EAF2;LIF;IGF1;FOS;KLF4;KLF2;FOSL1;NR4A2;BMP4;NR4A1;IL6;BMP2;NR4A3;ELF3;IL1B;IRF1;MAFF;CDH13;ATF3;FGFR2;PF4
GO_Biological_Process_2021	cellular response to growth factor stimulus (GO:0071363)	15/158	2.561974e-08	4.343400e-06	0	0	6.950456e+00	1.214933e+02	ACVRL1;EGR3;FLT4;SPHK1;PDGFB;KLF4;OVOL2;BMP4;TMEM100;NR4A1;ZFP36;BMP2;MT1G;CCL2;HAS2
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	19/269	4.558822e-08	7.028283e-06	0	0	5.077113e+00	8.582158e+01	EDN1;MMP7;SPHK1;PDGFB;FAM107A;SEMA3G;NEDD9;IGF1;THBS1;CDH5;BMP2;GPNMB;CEACAM6;PDGFD;IL1B;HAS2;CDH13;CCR2;HBEGF
GO_Biological_Process_2021	positive regulation of cellular process (GO:0048522)	30/625	4.698420e-08	7.028283e-06	0	0	3.438475e+00	5.801896e+01	VIPR1;CSF3;RAMP3;FLT4;PDGFB;HBB;THBS1;CX3CL1;DPP4;ESM1;ZFP36;CDH3;PDGFD;HAS2;HES1;IL12A;IL15RA;EDN1;SPHK1;LIF;VEGFC;IGF1;FOSL1;BMP4;CLDN5;IL6;CEACAM6;IL1B;FGFR2;HBEGF
GO_Biological_Process_2021	positive regulation of MAPK cascade (GO:0043410)	19/274	6.106697e-08	8.285957e-06	0	0	4.976282e+00	8.266249e+01	CCL13;EDN1;NDRG4;RAMP3;GDF15;FLT4;PDGFB;LIF;IGF1;AGER;CX3CL1;ICAM1;BMP2;IL6;GPNMB;PDGFD;S100A12;CCL2;FGFR2
GO_Biological_Process_2021	positive regulation of epithelial cell proliferation (GO:0050679)	13/123	6.190845e-08	8.285957e-06	0	0	7.791246e+00	1.293161e+02	EGFL7;EGR3;FLT4;PDGFB;VEGFC;IGF1;BMP4;NR4A1;BMP2;CDH3;NR4A3;CDH13;FGFR2
GO_Biological_Process_2021	sprouting angiogenesis (GO:0002040)	9/52	9.425020e-08	1.198391e-05	0	0	1.366167e+01	2.210091e+02	ACVRL1;BMP4;NR4A1;ESM1;EGR3;FLT4;CDH13;VEGFC;THBS1
GO_Biological_Process_2021	neutrophil chemotaxis (GO:0030593)	10/70	1.207380e-07	1.462080e-05	0	0	1.090556e+01	1.737216e+02	CCL13;EDN1;CXADR;PDE4B;CCL2;S100A12;CXCL3;CXCL2;CX3CL1;PF4
GO_Biological_Process_2021	cellular response to cadmium ion (GO:0071276)	7/27	1.366982e-07	1.511406e-05	0	0	2.272112e+01	3.591185e+02	MT2A;JUN;MT1M;MT1G;MT1X;FOS;MT4
GO_Biological_Process_2021	positive regulation of nitric oxide biosynthetic process (GO:0045429)	7/27	1.366982e-07	1.511406e-05	0	0	2.272112e+01	3.591185e+02	EDN1;IL1B;HBB;AGTR2;PTGS2;KLF4;KLF2
GO_Biological_Process_2021	positive regulation of cellular biosynthetic process (GO:0031328)	15/180	1.453584e-07	1.540193e-05	0	0	6.016949e+00	9.473123e+01	EGR1;EDN1;PCNA;PDGFB;HBB;IGF1;PTGS2;KLF4;THBS1;KLF2;SLC25A37;IL6;CDH3;IL1B;AGTR2
GO_Biological_Process_2021	cellular response to oxygen-containing compound (GO:1901701)	20/323	1.742251e-07	1.709495e-05	0	0	4.412655e+00	6.867379e+01	EGR1;JUN;LTK;RAMP3;SERPINE1;PDGFB;TNFAIP3;RORA;FOS;CXCL3;CXCL2;ZFP36;IL6;NR4A3;IL1B;PDE4B;ABL2;CCL2;CCR5;PF4
GO_Biological_Process_2021	positive regulation of nitric oxide metabolic process (GO:1904407)	7/28	1.798564e-07	1.709495e-05	0	0	2.163806e+01	3.360631e+02	EDN1;IL1B;HBB;AGTR2;PTGS2;KLF4;KLF2
GO_Biological_Process_2021	granulocyte chemotaxis (GO:0071621)	10/73	1.815036e-07	1.709495e-05	0	0	1.038466e+01	1.611905e+02	CCL13;EDN1;CXADR;PDE4B;CCL2;S100A12;CXCL3;CXCL2;CX3CL1;PF4
GO_Biological_Process_2021	regulation of ERK1 and ERK2 cascade (GO:0070372)	17/238	2.009005e-07	1.824607e-05	0	0	5.111315e+00	7.881881e+01	CCL13;NDRG4;RAMP3;LMO3;FLT4;PDGFB;AGER;CX3CL1;DUSP6;ICAM1;BMP2;GPNMB;PDGFD;IL1B;TIMP3;CCL2;FGFR2
GO_Biological_Process_2021	response to cadmium ion (GO:0046686)	7/29	2.339519e-07	2.051516e-05	0	0	2.065347e+01	3.153402e+02	MT2A;JUN;MT1M;MT1G;MT1X;FOS;MT4
GO_Biological_Process_2021	positive regulation of angiogenesis (GO:0045766)	12/116	2.539056e-07	2.152273e-05	0	0	7.583634e+00	1.151674e+02	CDH5;SPHK1;IL1B;TIE1;SERPINE1;VEGFC;ANGPTL4;KLF4;FUT1;THBS1;SASH1;RHOB
GO_Biological_Process_2021	neutrophil migration (GO:1990266)	10/77	3.034103e-07	2.488943e-05	0	0	9.762687e+00	1.465202e+02	CCL13;EDN1;CXADR;PDE4B;CCL2;S100A12;CXCL3;CXCL2;CX3CL1;PF4
GO_Biological_Process_2021	cellular response to organic substance (GO:0071310)	12/123	4.821226e-07	3.831368e-05	0	0	7.102848e+00	1.033114e+02	SOCS2;ACVRL1;CSF3;RAMP3;TIPARP;SPHK1;IL1B;PDGFB;CCL2;KLF4;PTPN13;IL18R1
GO_Biological_Process_2021	regulation of transcription by RNA polymerase II (GO:0006357)	64/2206	5.150852e-07	3.969278e-05	0	0	2.131341e+00	3.085955e+01	ACVRL1;FOXA1;CSF3;SERPINE1;RORA;MEOX2;MEOX1;CX3CL1;ETS2;ZFP36;EDNRB;SOX17;MYB;JUNB;IER2;PKNOX2;EDN1;ARID5A;FOS;OVOL2;ELF3;IRF1;ELF5;CDH13;ATF3;ZNF552;CEBPA;CEBPD;NOTCH4;FSTL3;HIRA;CCNB1;NFIL3;CAMTA1;HES1;MSX1;CRYM;EGR1;PLK3;JUN;JUND;EGR3;IRX5;BCL11A;FOXF1;EAF2;LIF;IGF1;KLF4;KLF2;FOSL1;PER2;NR4A2;BMP4;NR4A1;IL6;BMP2;NR4A3;MAFF;KLF9;BAX;FOSB;FGFR2;PF4
GO_Biological_Process_2021	regulation of inflammatory response (GO:0050727)	15/206	8.282893e-07	6.195117e-05	0	0	5.190966e+00	7.269379e+01	CEBPA;SPHK1;SERPINE1;TNFAIP3;RORA;PTGS2;KLF4;SELE;CX3CL1;CDH5;IL6;IL1B;S100A12;TLR7;CCR2
GO_Biological_Process_2021	negative regulation of signal transduction (GO:0009968)	17/267	1.010770e-06	7.343967e-05	0	0	4.511672e+00	6.228273e+01	NDRG4;EGFL7;PTGIR;GDF15;SPRY4;TNFAIP3;THBS1;CX3CL1;FSTL3;NR4A2;RGS2;BMP2;WIF1;IL1B;IL12A;AGTR2;TRIB1
GO_Biological_Process_2021	cellular divalent inorganic cation homeostasis (GO:0072503)	11/111	1.241837e-06	8.772200e-05	0	0	7.207023e+00	9.800773e+01	CDH5;CCL13;MT2A;EDN1;STC2;MT1M;MT1G;STC1;MT1X;MT4;CCR2
GO_Biological_Process_2021	negative regulation of multicellular organismal process (GO:0051241)	15/214	1.339110e-06	9.164516e-05	0	0	4.980240e+00	6.735031e+01	FOXA1;GDF15;PTPRO;STC1;ADM;AGER;OVOL2;SLC6A4;BMP4;RGS2;BMP2;GPNMB;CHSY1;IL1B;IL18R1
GO_Biological_Process_2021	regulation of p38MAPK cascade (GO:1900744)	7/37	1.387617e-06	9.164516e-05	0	0	1.513971e+01	2.042033e+02	BMP2;GADD45B;DUSP1;SPHK1;IL1B;AGER;SASH1
GO_Biological_Process_2021	positive regulation of p38MAPK cascade (GO:1900745)	6/24	1.405490e-06	9.164516e-05	0	0	2.157018e+01	2.906608e+02	BMP2;GADD45B;SPHK1;IL1B;AGER;SASH1
GO_Biological_Process_2021	cellular response to molecule of bacterial origin (GO:0071219)	11/115	1.767424e-06	1.108620e-04	0	0	6.928415e+00	9.177370e+01	ZFP36;IL6;IL1B;SERPINE1;PDE4B;TNFAIP3;CCL2;CXCL3;CCR5;CXCL2;PF4
GO_Biological_Process_2021	cellular response to lipid (GO:0071396)	15/219	1.787393e-06	1.108620e-04	0	0	4.856929e+00	6.428026e+01	LTK;RAMP3;SERPINE1;TNFAIP3;RORA;CXCL3;CXCL2;ZFP36;IL6;IL1B;PDE4B;ABL2;CCL2;CCR5;PF4
GO_Biological_Process_2021	response to molecule of bacterial origin (GO:0002237)	9/73	1.870441e-06	1.132507e-04	0	0	9.169124e+00	1.209347e+02	IL6;IL1B;PELI1;TNFAIP3;IL12A;TRIB1;LIAS;CXCL2;SELE
GO_Biological_Process_2021	negative regulation of cell population proliferation (GO:0008285)	20/379	2.136529e-06	1.263533e-04	0	0	3.713572e+00	4.848562e+01	ACVRL1;CEBPA;NDRG4;PTGIR;TNFAIP3;KLF4;PER2;BMP4;IL6;BMP2;GPNMB;ADAMTS1;IL1B;IRF1;NOX4;CDH13;HES1;IL12A;TRIB1;ADAMTS8
GO_Biological_Process_2021	regulation of nitric oxide biosynthetic process (GO:0045428)	7/40	2.414673e-06	1.395571e-04	0	0	1.376128e+01	1.779876e+02	EDN1;IL1B;HBB;AGTR2;PTGS2;KLF4;KLF2
GO_Biological_Process_2021	regulation of MAP kinase activity (GO:0043405)	10/97	2.647331e-06	1.488247e-04	0	0	7.510728e+00	9.645246e+01	BMP4;RGS2;EDN1;DUSP1;PDGFD;IL1B;SPRY4;PDGFB;S100A12;TRIB1
GO_Biological_Process_2021	cellular response to lipopolysaccharide (GO:0071222)	11/120	2.692072e-06	1.488247e-04	0	0	6.608910e+00	8.476059e+01	ZFP36;IL6;IL1B;SERPINE1;PDE4B;TNFAIP3;CCL2;CXCL3;CCR5;CXCL2;PF4
GO_Biological_Process_2021	positive regulation of endothelial cell proliferation (GO:0001938)	9/77	2.944175e-06	1.545540e-04	0	0	8.628005e+00	1.098835e+02	BMP4;NR4A1;EGFL7;BMP2;EGR3;FLT4;PDGFB;CDH13;VEGFC
GO_Biological_Process_2021	regulation of vascular endothelial growth factor production (GO:0010574)	6/27	2.972299e-06	1.545540e-04	0	0	1.848590e+01	2.352548e+02	IL6;FLT4;IL1B;RORA;PTGS2;CCR2
GO_Biological_Process_2021	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	13/172	2.978037e-06	1.545540e-04	0	0	5.376681e+00	6.841421e+01	CCL13;NDRG4;RAMP3;FLT4;PDGFB;AGER;CX3CL1;ICAM1;BMP2;GPNMB;PDGFD;CCL2;FGFR2
GO_Biological_Process_2021	mesenchyme development (GO:0060485)	5/16	3.288762e-06	1.672664e-04	0	0	2.932787e+01	3.702643e+02	BMP4;BMP2;FOXF1;MEOX1;FGFR2
GO_Biological_Process_2021	monocyte chemotaxis (GO:0002548)	7/42	3.402675e-06	1.696667e-04	0	0	1.297360e+01	1.633499e+02	CCL13;IL6;PTPRO;PDGFB;CCL2;S100A12;CX3CL1
GO_Biological_Process_2021	cellular response to chemokine (GO:1990869)	8/60	3.867487e-06	1.891350e-04	0	0	1.000408e+01	1.246798e+02	CCL13;DUSP1;CCL2;CXCL3;CXCL2;CX3CL1;CCR2;PF4
GO_Biological_Process_2021	positive regulation of vasculature development (GO:1904018)	10/102	4.188284e-06	2.009586e-04	0	0	7.100725e+00	8.792983e+01	CDH5;SPHK1;IL1B;TIE1;SERPINE1;VEGFC;ANGPTL4;THBS1;SASH1;RHOB
GO_Biological_Process_2021	vasculature development (GO:0001944)	5/17	4.600089e-06	2.166301e-04	0	0	2.688251e+01	3.303709e+02	ACVRL1;CDH5;FOXF1;FLT4;NOTCH4
GO_Biological_Process_2021	regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	7/45	5.500326e-06	2.543151e-04	0	0	1.194754e+01	1.446931e+02	BMP4;FOSL1;EGR1;JUN;PDGFB;FOS;KLF4
GO_Biological_Process_2021	positive regulation of protein phosphorylation (GO:0001934)	19/371	5.927885e-06	2.691895e-04	0	0	3.586985e+00	4.317238e+01	ACVRL1;CSF3;RAMP3;GDF15;SPHK1;FLT4;PDGFB;LIF;VEGFC;IGF1;AGER;CX3CL1;BMP4;IL6;BMP2;GPNMB;PDGFD;IL1B;ERP29
GO_Biological_Process_2021	cellular response to zinc ion (GO:0071294)	5/18	6.288733e-06	2.805658e-04	0	0	2.481337e+01	2.971835e+02	MT2A;MT1M;MT1G;MT1X;MT4
GO_Biological_Process_2021	transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	11/133	7.323125e-06	3.210811e-04	0	0	5.900762e+00	6.977340e+01	BMP4;ACVRL1;TMEM100;CDH5;CLDN5;JUN;BMP2;COL3A1;GDF15;FOS;LRRC32
GO_Biological_Process_2021	negative regulation of angiogenesis (GO:0016525)	9/87	8.175639e-06	3.512973e-04	0	0	7.518017e+00	8.806869e+01	CLDN5;ADAMTS1;SERPINF1;SERPINE1;KLF4;THBS1;KLF2;CCR2;PF4
GO_Biological_Process_2021	cellular response to copper ion (GO:0071280)	5/19	8.426715e-06	3.512973e-04	0	0	2.303981e+01	2.691996e+02	MT2A;MT1M;MT1G;MT1X;MT4
GO_Biological_Process_2021	regulation of neuroinflammatory response (GO:0150077)	5/19	8.426715e-06	3.512973e-04	0	0	2.303981e+01	2.691996e+02	IL6;SPHK1;IL1B;IGF1;PTGS2
GO_Biological_Process_2021	negative regulation of cellular process (GO:0048523)	24/566	9.153204e-06	3.754290e-04	0	0	2.964622e+00	3.439379e+01	ACVRL1;CEBPA;DUSP1;NOTCH4;WFDC1;KLF4;RHOB;RND1;BMP4;NR4A1;IL6;BMP2;SOX17;GPNMB;ADAMTS1;IL1B;IRF1;AGR2;NOX4;CDH13;AGTR2;MSX1;ADAMTS8;APOBEC3B
GO_Biological_Process_2021	positive regulation of macromolecule metabolic process (GO:0010604)	19/384	9.669294e-06	3.819275e-04	0	0	3.456903e+00	3.991533e+01	EGR1;RAMP3;PDGFB;IGF1;KLF4;SELE;KLF2;OVOL2;BMP4;OLFM1;CDH5;CLDN5;IL6;BMP2;CDH3;IL1B;AGR2;ERP29;PF4
GO_Biological_Process_2021	regulation of endothelial cell migration (GO:0010594)	9/89	9.861136e-06	3.819275e-04	0	0	7.329319e+00	8.448439e+01	ACVRL1;BMP4;EDN1;FLT4;STC1;FUT1;THBS1;SASH1;RHOB
GO_Biological_Process_2021	second-messenger-mediated signaling (GO:0019932)	9/89	9.861136e-06	3.819275e-04	0	0	7.329319e+00	8.448439e+01	EDN1;EDNRB;SPHK1;BTK;FPR1;AGTR2;CCR5;SELE;CCR2
GO_Biological_Process_2021	positive regulation of signal transduction (GO:0009967)	15/252	9.912393e-06	3.819275e-04	0	0	4.173568e+00	4.808670e+01	LMO3;NOTCH4;TNFAIP3;IGF1;KLF2;ESM1;BMP2;IL6;CDH3;ELF3;IL1B;BAX;LIMS2;FGFR2;SASH1
GO_Biological_Process_2021	cardiac epithelial to mesenchymal transition (GO:0060317)	5/20	1.109349e-05	4.116052e-04	0	0	2.150273e+01	2.453279e+02	ACVRL1;BMP4;OLFM1;BMP2;HAS2
GO_Biological_Process_2021	regulation of smooth muscle cell migration (GO:0014910)	5/20	1.109349e-05	4.116052e-04	0	0	2.150273e+01	2.453279e+02	NDRG4;SERPINE1;PDGFB;IGF1;TRIB1
GO_Biological_Process_2021	positive regulation of response to external stimulus (GO:0032103)	11/139	1.116821e-05	4.116052e-04	0	0	5.622439e+00	6.410952e+01	THBD;CEBPA;IL1B;SERPINE1;PDGFB;S100A12;TLR7;THBS1;CX3CL1;SASH1;CCR2
GO_Biological_Process_2021	cellular response to vascular endothelial growth factor stimulus (GO:0035924)	6/34	1.232638e-05	4.329037e-04	0	0	1.385949e+01	1.566645e+02	NR4A1;EGR3;FLT4;SPHK1;VEGFC;MT1G
GO_Biological_Process_2021	epithelial tube morphogenesis (GO:0060562)	6/34	1.232638e-05	4.329037e-04	0	0	1.385949e+01	1.566645e+02	ACVRL1;BMP4;SOX17;HES1;RASIP1;RHOB
GO_Biological_Process_2021	positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	6/34	1.232638e-05	4.329037e-04	0	0	1.385949e+01	1.566645e+02	FOSL1;EGR1;JUN;PDGFB;FOS;KLF4
GO_Biological_Process_2021	negative regulation of gene expression (GO:0010629)	17/322	1.242704e-05	4.329037e-04	0	0	3.687629e+00	4.165412e+01	ACVRL1;TIPARP;PDGFB;GZMB;IGF1;TYMS;KLF4;OVOL2;BMP4;OLFM1;CLDN5;ZFP36;BMP2;GPNMB;STC2;ENC1;ERP29
GO_Biological_Process_2021	regulation of epithelial cell proliferation (GO:0050678)	9/93	1.413622e-05	4.849575e-04	0	0	6.978880e+00	7.793155e+01	ACVRL1;BMP4;NR4A1;ZFP36;NR4A3;TIE1;IGF1;FUT1;FGFR2
GO_Biological_Process_2021	positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707)	5/21	1.437609e-05	4.849575e-04	0	0	2.015779e+01	2.247582e+02	JUN;NR4A3;ADAMTS1;PDGFB;IGF1
GO_Biological_Process_2021	blood vessel diameter maintenance (GO:0097746)	6/35	1.468412e-05	4.849575e-04	0	0	1.338090e+01	1.489126e+02	PER2;EDN1;EDNRB;KCNMB4;AGTR2;KLF2
GO_Biological_Process_2021	peptidyl-tyrosine dephosphorylation (GO:0035335)	6/35	1.468412e-05	4.849575e-04	0	0	1.338090e+01	1.489126e+02	DUSP5;PTPRB;DUSP1;PTPRO;PTPN13;DUSP6
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	23/546	1.567140e-05	5.109280e-04	0	0	2.936962e+00	3.249359e+01	CSF3;RAMP3;GDF15;SPHK1;FLT4;PDGFB;LIF;IGF1;AGER;THBS1;CX3CL1;IL6;BMP2;PDGFD;IL1B;PELI1;BAX;S100A12;CDH13;TLR7;SASH1;FGFR2;HBEGF
GO_Biological_Process_2021	regulation of cell cycle (GO:0051726)	16/296	1.676997e-05	5.398232e-04	0	0	3.772595e+00	4.148315e+01	PPP1R15A;JUN;JUND;GADD45B;DUSP1;THBS1;RHOB;PER2;BMP4;NR4A1;CCNB1;BMP2;IRF1;IL12A;JUNB;FGFR2
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	22/511	1.724340e-05	5.481244e-04	0	0	2.999475e+00	3.289848e+01	ACVRL1;EGR1;JUN;FOXF1;NOTCH4;PDGFB;RORA;IGF1;FOS;KLF4;ETS2;KLF2;BMP4;IL6;BMP2;SOX17;NFIL3;IL1B;IRF1;MYB;CD38;HES1
GO_Biological_Process_2021	response to copper ion (GO:0046688)	5/23	2.317510e-05	7.275837e-04	0	0	1.791621e+01	1.912095e+02	MT2A;MT1M;MT1G;MT1X;MT4
GO_Biological_Process_2021	blood vessel morphogenesis (GO:0048514)	7/56	2.429922e-05	7.444931e-04	0	0	9.260255e+00	9.839082e+01	EGFL7;SOX17;FLT4;HAS2;ADM;HES1;RASIP1
GO_Biological_Process_2021	chemokine-mediated signaling pathway (GO:0070098)	7/56	2.429922e-05	7.444931e-04	0	0	9.260255e+00	9.839082e+01	CCL13;CCL2;CXCL3;CXCL2;CX3CL1;CCR2;PF4
GO_Biological_Process_2021	circulatory system development (GO:0072359)	10/126	2.732078e-05	8.178614e-04	0	0	5.624713e+00	5.910371e+01	ACVRL1;CDH5;BMP2;COL3A1;CXADR;SOX17;FOXF1;NOTCH4;FLT4;PDGFB
GO_Biological_Process_2021	regulation of mitotic nuclear division (GO:0007088)	7/57	2.733709e-05	8.178614e-04	0	0	9.074587e+00	9.534911e+01	BMP4;EDN1;CCNB1;DUSP1;IL1B;PDGFB;IGF1
GO_Biological_Process_2021	regulation of cardiac muscle hypertrophy (GO:0010611)	5/24	2.890400e-05	8.546845e-04	0	0	1.697239e+01	1.773875e+02	EDN1;RGS2;NR4A3;IGF1;LMCD1
GO_Biological_Process_2021	negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	8/80	3.351418e-05	9.796157e-04	0	0	7.217807e+00	7.436898e+01	BMP4;IL1B;SERPINE1;TNFAIP3;IGF1;THBS1;ICAM1;PF4
GO_Biological_Process_2021	positive regulation of vascular endothelial growth factor production (GO:0010575)	5/25	3.567372e-05	1.024125e-03	0	0	1.612295e+01	1.651167e+02	IL6;FLT4;IL1B;RORA;PTGS2
GO_Biological_Process_2021	negative regulation of plasminogen activation (GO:0010757)	3/5	3.603867e-05	1.024125e-03	0	0	9.619544e+01	9.841677e+02	CTSZ;SERPINE1;THBS1
GO_Biological_Process_2021	positive regulation of calcium ion import (GO:0090280)	4/13	3.624510e-05	1.024125e-03	0	0	2.858533e+01	2.922909e+02	RAMP3;PDGFB;STC1;CCL2
GO_Biological_Process_2021	negative regulation of macromolecule metabolic process (GO:0010605)	12/194	5.292686e-05	1.479044e-03	0	0	4.316248e+00	4.250036e+01	ACVRL1;BMP4;CLDN5;OLFM1;BMP2;TIPARP;STC2;PDGFB;ERP29;IGF1;KLF4;OVOL2
GO_Biological_Process_2021	positive regulation of endothelial cell migration (GO:0010595)	8/86	5.661561e-05	1.553255e-03	0	0	6.660554e+00	6.513506e+01	BMP4;EDN1;FLT4;PDGFB;FUT1;THBS1;SASH1;RHOB
GO_Biological_Process_2021	regulation of endothelial cell apoptotic process (GO:2000351)	6/44	5.680406e-05	1.553255e-03	0	0	1.020706e+01	9.978326e+01	CDH5;SERPINE1;TNFAIP3;CCL2;THBS1;ICAM1
